,index,LOCODE,Name,NameWoDiacritics,SubDiv,Function,Status,Date,Coordinates,Latitude,Longitude
57,1070,IN SWA,Sahnewal,Sahnewal,PB,1----6--,RQ,907.0,3051N 07557E,30.51,75.57
58,1075,IN SAM,Samalkot,Samalkot,AP,123--6--,RL,1207.0,1703N 08211E,17.03,82.11
59,1128,IN SIK,Sika,Sika,GJ,123-----,AA,207.0,2226N 06950E,22.26,69.5
60,1130,IN SKK,Sikkim,Sikkim,AN,1-3-----,RL,1707.0,2719N 08837E,27.19,88.37
61,1133,IN SIL,Siliguri,Siliguri,WB,123-----,RL,701.0,2643N 08825E,26.43,88.25
62,1186,IN STV,Surat,Surat,GJ,1234-6--,AI,307.0,2110N 07250E,21.1,72.5
63,1192,IN TAD,Tadri,Tadri,KA,1-3-----,AA,501.0,1431N 07421E,14.31,74.21
64,1214,IN THN,Thane,Thane,MH,123-----,RL,701.0,1912N 07258E,19.12,72.58
65,1241,IN KTK,Toranagallu,Toranagallu,KA,1----6--,RL,1201.0,1512N 07641E,15.12,76.41
66,1248,IN ZUM,Tumkur,Tumkur,KA,1-3-----,RL,1707.0,1630N 07705E,16.3,77.05
67,1251,IN TUT,Tuticorin,Tuticorin,TN,123--6--,AA,501.0,0847N 07808E,8.47,78.08
68,1263,IN URA,Uran,Uran,MH,123-----,RL,901.0,1853N 07256E,18.53,72.56
69,1267,IN BDQ,Vadodara,Vadodara,GJ,1234----,AI,1207.0,2218N 07312E,22.18,73.12
70,1298,IN VTZ,Visakhapatnam,Visakhapatnam,AP,1234-6--,AA,307.0,1742N 08318E,17.42,83.18
71,1303,IN WAD,Wada,Wada,MH,1-3-----,RL,701.0,1859N 07345E,18.59,73.45
