,index,LOCODE,Name,NameWoDiacritics,SubDiv,Function,Status,Date,Coordinates,Latitude,Longitude
257,611,IN KAR,Karur,Karur,TN,123--6--,AA,501.0,1057N 07805E,10.57,78.05
258,614,IN KSR,Kashipur,Kashipur,UT,--3-----,RL,1307.0,2913N 07857E,29.13,78.57
259,615,IN KWD,Kasrawad,Kasrawad,MP,--3-----,RL,1207.0,2208N 07536E,22.08,75.36
260,619,IN KAI,Katni,Katni,MP,--3-----,RL,1201.0,2349N 08024E,23.49,80.24
261,620,IN KAT,Kattupalli,Kattupalli,TN,123-----,RL,1201.0,1318N 08021E,13.18,80.21
262,621,IN KTP,Kattupalli Port,Kattupalli Port,TN,123-----,RL,1207.0,1318N 08023E,13.18,80.23
263,628,IN KNP,Kendrapara,Kendrapara,OR,--3-----,RL,1201.0,2030N 08625E,20.3,86.25
264,629,IN KHR,Kendujhar,Kendujhar,OR,--3-----,RL,1201.0,2137N 08534E,21.37,85.34
265,630,IN KEO,Keonjhar,Keonjhar,OR,--3-----,RL,901.0,2130N 08530E,21.3,85.3
266,635,IN KHI,Khambhaliya,Khambhaliya,GJ,--3-----,RL,1207.0,2221N 06939E,22.21,69.39
267,637,IN KGA,Khamgaon,Khamgaon,MH,--3-----,RL,901.0,2041N 07634E,20.41,76.34
268,638,IN KHM,Khammam,Khammam,AP,--3-----,RL,1201.0,1715N 08009E,17.15,80.09
269,639,IN KHS,Khandsha,Khandsha,HR,--3-----,AA,1601.0,2825N 07700E,28.25,77.0
270,641,IN WSI,Kharsawan,Kharsawan,JH,--3-----,RL,1201.0,2246N 08549E,22.46,85.49
271,642,IN KHU,Khatauli,Khatauli,UP,--3-----,RL,1207.0,2917N 07743E,29.17,77.43
272,643,IN KHA,Khatima,Khatima,UP,--3-----,RQ,1001.0,2855N 07958E,28.55,79.58
273,644,IN KHE,Kheda,Kheda,GJ,--3-----,RL,1301.0,2245N 07241E,22.45,72.41
274,646,IN LAH,Kheri,Kheri,UP,--3-----,RL,1201.0,2754N 08048E,27.54,80.48
275,662,IN KIT,Kishtwar,Kishtwar,JK,--3-----,RL,1201.0,3319N 07546E,33.19,75.46
276,664,IN KOC,Kochi,Kochi,KL,--3-5---,AI,1601.0,0958N 07616E,9.58,76.16
277,672,IN KOR,Kokrajhar,Kokrajhar,AS,--3-----,RL,1201.0,2624N 09016E,26.24,90.16
278,673,IN KOL,Kolabira,Kolabira,OR,--3-----,RL,1207.0,2148N 08410E,21.48,84.1
279,674,IN KLR,Kolar,Kolar,KA,--3-----,RQ,907.0,1380N 07880E,13.8,78.8
280,675,IN KLH,Kolhåpur,Kolhapur,MH,--34----,AI,401.0,1642N 07413E,16.42,74.13
281,678,IN KUK,Kollam,Kollam,KL,--3--6--,AA,1501.0,1127N 07541E,11.27,75.41
282,679,IN KCI,Konakanchi,Konakanchi,AP,--3-----,RL,1807.0,1619N 08011E,16.19,80.11
283,682,IN KRT,Koraput,Koraput,OR,--3-----,RL,1207.0,1849N 08243E,18.49,82.43
284,683,IN KGN,Koregaon,Koregaon,MH,--3-----,RL,1401.0,1839N 07405E,18.39,74.05
285,687,IN KOT,Kothagudem,Kothagudem,AP,--3-----,RL,901.0,1733N 08038E,17.33,80.38
286,691,IN VPT,Kovilpatti,Kovilpatti,TN,--3-----,RL,1301.0,0910N 07752E,9.1,77.52
287,693,IN CCJ,Kozhikode (ex Calicut),Kozhikode (ex Calicut),KL,1234----,AA,207.0,1115N 07546E,11.15,75.46
288,694,IN KBC,Kril ICD,Kril ICD,GJ,-23--6--,RL,1207.0,2111N 07242E,21.11,72.42
289,696,IN KGI,Krishnagiri,Krishnagiri,TN,--3-----,RL,1201.0,1232N 07814E,12.32,78.14
290,700,IN KUL,Kulgam,Kulgam,JK,--3-----,RL,1201.0,3339N 07501E,33.39,75.01
291,705,IN KMH,Kumhrar,Kumhrar,BR,--3-----,RL,1401.0,2535N 08511E,25.35,85.11
292,707,IN KUD,Kundapur,Kundapur,AP,--3-----,RL,701.0,1742N 07940E,17.42,79.4
293,709,IN KUI,Kundli,Kundli,HR,--3-----,RL,1401.0,2852N 07707E,28.52,77.07
294,710,IN KUS,Kushinagar,Kushinagar,UP,--3-----,RL,1201.0,2644N 08353E,26.44,83.53
295,711,IN LIM,Lakhimpur,Lakhimpur,AS,--3-----,RL,1201.0,2713N 09405E,27.13,94.05
296,712,IN LWP,Lakshadweep,Lakshadweep,LD,--3-----,RL,1201.0,1020N 07247E,10.2,72.47
297,720,IN LAT,Latur,Latur,MH,--3-----,RL,901.0,1824N 07635E,18.24,76.35
298,727,IN KOY,Lkoyali,Lkoyali,,--3-----,RL,901.0,2222N 07307E,22.22,73.07
299,728,IN LOH,Lohardaga,Lohardaga,BR,--3-----,RL,1201.0,2326N 08441E,23.26,84.41
300,730,IN LNI,Loni,Loni,MH,--3-----,RL,901.0,1934N 07428E,19.34,74.28
301,731,IN LON,Loni,Loni,UP,-23-----,RL,907.0,2845N 07716E,28.45,77.16
302,732,IN LKH,Loni Kalbhor,Loni Kalbhor,MH,-23--6--,RL,901.0,1827N 07402E,18.27,74.02
